machine learning algorithms
deep learning algorithms
statistics
data science
data analysis
business intelligence
use databases
probability and statistics
data visualization
data processing
collect ICT data
data models
data mining
analyse big data
normalize data
query languages
statistical analysis techniques
online analytical processing
handle data samples
visual presentation techniques
report analysis results
design database scheme
information extraction
findable interoperable and reusable data
operate open source software
implement data quality processes
unstructured data
execute analytical mathematical calculations
manage research data
deliver visual interpretation of data
build recommender systems
data mining method
aggregate data
analyse big data
analyse scientific data
analyse test data
analysing big data
analysing environmental data
analysing scientific and medical data
analysing scientific data
analysing test data
apply statistical calculations to genetic data
appraise data
assemble data
assess data
big data analysing
big data analysis
check data
collect data
collect mapping data
conservation of mapping data
conserve mapping data
convert data
data inspection
data mining approaches
data mining arrangements
data mining mechanisms
data mining methodology
data mining methods
data mining processes
data privacy
data processing
data protection
data warehouse
gathering data
geographic data trends
handle data
handle numerical data
identify trends in geographic data
implement data cleansing
information privacy
inspect data
inspect environmental data
inspecting data
inspection of data
integrate ICT data
interpret data
manage data quantitatively
manage quantitative data
measure data
organise data
present data
record production data
refine data
review environmental data
review scientific data
